ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Contactset_ID,Respondent
F-set29-F,set29-F,F,Yes,F-yes,,,set29,
S-set29-F,set29-F,S,set29,S-set29,,,set29,
F-set29-N,set29-N,F,No,F-no,,,set29,
S-set29-N,set29-N,S,set29,S-set29,,,set29,
F-set30-F,set30-F,F,Yes,F-yes,,,set30,
S-set30-F,set30-F,S,set30,S-set30,,,set30,
F-set30-N,set30-N,F,No,F-no,,,set30,
S-set30-N,set30-N,S,set30,S-set30,,,set30,
F-set31-F,set31-F,F,Yes,F-yes,,,set31,
S-set31-F,set31-F,S,set31,S-set31,,,set31,
F-set31-N,set31-N,F,No,F-no,,,set31,
S-set31-N,set31-N,S,set31,S-set31,,,set31,
F-set32-F,set32-F,F,Yes,F-yes,,,set32,
S-set32-F,set32-F,S,set32,S-set32,,,set32,
F-set32-N,set32-N,F,No,F-no,,,set32,
S-set32-N,set32-N,S,set32,S-set32,,,set32,
F-set33-F,set33-F,F,Yes,F-yes,,,set33,
S-set33-F,set33-F,S,set33,S-set33,,,set33,
F-set33-N,set33-N,F,No,F-no,,,set33,
S-set33-N,set33-N,S,set33,S-set33,,,set33,
F-set34-F,set34-F,F,Yes,F-yes,,,set34,
S-set34-F,set34-F,S,set34,S-set34,,,set34,
F-set34-N,set34-N,F,No,F-no,,,set34,
S-set34-N,set34-N,S,set34,S-set34,,,set34,
set01-DEM00,set01-F,DEM00,Yes,DEM00-yes,,,set01,Hank Nater
set02-DEM00,set02-F,DEM00,Yes,DEM00-yes,mixed marriage is very common in all parts of the societies,,set02,Mathias Jenny
set03-DEM00,set03-F,DEM00,No,DEM00-no,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM00,set04-F,DEM00,No,DEM00-no,,,set04,Hannah Gibson & Maarten Mous
set05-DEM00,set05-F,DEM00,Yes,DEM00-yes,I don't know. They have certainly traded and married so I'm leaning more towards 'yes'.,,set05,Ellen Smith-Dennis
set06a-DEM00,set06a-F,DEM00,Yes,DEM00-yes,"Most social traditions have been introduced from Sicily: food; dress; religious functions and ""outside festivities"", like processions, street decorations, fireworks, the crib; traditional children's games, the Imnarja (luminaria) on the feast of Saints Peter and Paul (an agricultural show and folklore night).
Regarding gifts, Sicilians would normally present typical sweets or Caltagirone pottery to Maltese persons during visits or as a show of gratitude for some favour. The Maltese would present some local handcraft, like glass works or spirits (like whisky).",,set06a,Joseph M Brincat
set07-DEM00,set07-F,DEM00,Yes,DEM00-yes,,,set07,Admire Phiri
set08-DEM00,set08-F,DEM00,Yes,DEM00-yes,"In the context of trade of food products; and the exchange of ritual objects, along with their proper names and the spirits they represent, to settle long-standing feuding.",,set08,Ross Bowden
set09-DEM00,set09-F,DEM00,Yes,DEM00-yes,"There is no formal exchange between ""peoples"", but all the traditional domains of exchange sometimes include Arabic L1 speakers, especially in the town centre (Lkaṛti): invitations to marriages or circumcisions or other life-stage festivals; smaller-scale invitations to tea; ssqat (sadaqa - plates of couscous offered as charity to the whole congregation of a mosque); etc.",,set09,Lameen Souag
set10-DEM00,set10-F,DEM00,No,DEM00-no,,,set10,Anonymous
set11-DEM00,set11-F,DEM00,No,DEM00-no,,,set11,Alexander Cobbinah
set12-DEM00,set12-F,DEM00,Yes,DEM00-yes,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM00,set13-F,DEM00,Yes,DEM00-yes,,,set13,Jerry K. Jacka
set14-DEM00,set14-F,DEM00,Yes,DEM00-yes,,,set14,Ana María Ospina Bozzi
set15-DEM00,set15-F,DEM00,No,DEM00-no,,,set15,Bruno Olsson
set16-DEM00,set16-F,DEM00,No,DEM00-no,"As outlined in the questionnaire on 'Local community', the relationship between the Chipaya and their Aymara neighbours has always been an uneasy one (despite intermarriages). Thus, according to my knowledge, ceremonial exchange has never played a role in the relationships between the two groups.",,set16,Katja Hannß
set17-DEM00,set17-F,DEM00,Yes,DEM00-yes,"An exchange practice between Otomi speakers and Mexican Spanish speakers is through compadrazgo relationships. Usually, Otomi speakers ask Mexican Spanish speakers to be godparents to their children. In this context, there are language exchanges of request and gratitude. These linguistic exchanges take place before the ceremony, in the home of the Mexican Spanish speakers (request). During the ceremony, language exchanges take place in the community church and at the party (gratitude), which takes place in the home of the Otomi speakers.",,set17,Rosnátaly Avelino
set18-DEM00,set18-F,DEM00,Yes,DEM00-yes,"Here I focus on ceremonial exchange, which is also the only formalised context of knowledge learning, so is the focus of the 'knowledge' questionnaire. As a result there may be a bit of overlap between these sections.",,set18,Ruth Singer
set19-DEM00,set19-F,DEM00,No,DEM00-no,"We think that social exchange occurs mostly within the Alorese village and Adang people are invited only if one of the members of the family happens to be from Adang origin. One ceremony that brings together Alorese and Adang is the harvesting ceremony Makan Baru (lit. New eating) which is celebrated once or twice a year. The situation is different in the Alorese community in northeastern Pantar (the original location if the Alorese). There people from the mountains speaking Alor-Pantar languages invite the Alorese people from the coast, when they have traditional ceremonies. Going to the ceremonies is a form of respect that Alorese people from the coast show to people from the mountains who are considered land owner.",,set19,Francesca Moro & Yunus Sulistyono
set20-DEM00,set20-F,DEM00,No,DEM00-no,Contact between Santali and Bengali people has never occurred in this particular domain.,,set20,Arun Ghosh
set21-DEM00,set21-F,DEM00,Yes,DEM00-yes,,,set21,Georg Ziegelmeyer
set22-DEM00,set22-F,DEM00,Yes,DEM00-yes,,,set22,Elizabeth Hall
set23-DEM00,set23-F,DEM00,No,DEM00-no,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM00,set24-F,DEM00,Yes,DEM00-yes,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM00,set25-F,DEM00,Yes,DEM00-yes,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM00,set27-F,DEM00,No,DEM00-no,,,set27,Dineke Schokkin
set28-DEM00,set28-F,DEM00,Yes,DEM00-yes,,,set28,Eri Kashima & Dineke Schokkin
set29-DEM00,set29-F,DEM00,Yes,DEM00-yes,"Both social exchange and marriage are relevant to contact between various subgroups of the Burarra and Yolngu Matha language groups. These connections were likely more codified in pre-colonial and early colonial times, but certainly continue in the present time. Both ceremony and gift-exchange are salient domains. I provide specific examples below.
EXCHANGE BETWEEN SPECIFIC GROUPS
Distinct patterns of exchange and marriage exist between different clan and dialect groups within the Burarra and Yolngu Matha groups. Extensive ceremonial, cultural and economic links existed and still exist to a degree between the Yan-nhangu (a Yolngu group of the Crocodile Islands) and north-eastern Burarra people who own territory around Cape Stewart (e.g. Bowern and James 2006). The two groups interact closely and regularly, characterising themselves as ‘close’ (yi-gurrepa in Burarra; galki in Yan-nhangu) (Bagshaw 1998: 249). The two groups share major religious resources and can be subsumed under a variety of (in some cases moiety-specific) designations which each pick out some salient aspect of the shared territory (e.g. Maringa (‘coast’); Gulala (‘mangrove pod’)).
At the southern reaches of Burarra territory, speakers of the Gun-nartpa dialect of Burarra also connect closely with Yolngu groups. They are more closely affiliated with inland freshwater country kin from the Yolngu Djinang/Wurlaki-speaking clans (as well as Rembarrnga/Kune, Kuninjku and Gurr-goni – speaking clans) than with their coastal Burarra neighbours. They connect also with Yolngu groups from the further-afield Yurrwi/Milingimbi area on the Crocodile Islands (including Yan-nhangu speaking groups). There is a local theory of language origins that states that the Gun-nartpa, along with other Burarra speakers, originated at Yurrwi, but following tribal war the ancestors of the Gun-nartpa moved inland. A contemporary example of the connection between these groups is the presence of large jambang ‘tamarind’ trees that grow at Gochan Jiny-jirra, a Gun-nartpa outstation of the An-nguliny clan. These were grown from seeds collected from Yurrwi by a young Gun-nartpa man who was encouraged to take them from a Macassan trepang site by the local landowners. As Carew notes, “the presence of the trees is an instantiation of the kinship and ceremonial connections between their group and Yirrichinga clan groups at Milingimbi, who do own Macassan sites” (Carew 2016: 72).
At various points along the Burarra/Yolngu boundary, speakers from both groups have been in close long-term contact within particular clan ‘aggregates’ or ‘clusters’ – higher level groupings of clans which were/are affiliated, which would have spent much time together (perhaps seasonally) and which may share Dreamings, sites and territory. Examples: the Manydjikay clan aggregate includes Burarra and Yan-nhangu (Keen 1978: 24; see also Bagshaw 1998: 271), and the Marrangu clan aggregate or ceremonial polity includes (Jowunga/Dhuwa moiety) Djinang and Martay Burarra clans (Elliot 1991, 2015; Carew 2016).

THE NATURE OF BURARRA/YOLNGU CEREMONIAL EXCHANGE 
– ceremony
Exchange between Burarra and Yolngu groups occurs often through diplomacy rituals, funeral performances and initiation ceremonies. The reciprocity observable in ceremonial participation and exchange is central to structuring social life in Arnhem Land (Carew 2016: 102, Brown 2014). Examples of ceremonies conducted for inter-group diplomacy which implicate these two groups include Rom (involving the presentation of a decorated pole as a gift e.g. Altman 2008, Wild 1986) and Marrajiri (pre-colonially a post-burial ceremony but now a birth celebration, e.g. Borsboom 1978). Historically, these ceremonies would have provided opportunities for exchanging goods, but now goods are acquired through the market. Nevertheless, ceremonies like these continue to provide opportunities for social exchange and serve as markers of distinct group identity (Altman 2008: 15).
– funerals and initiation
Funerals, especially for clan leaders, and japi (young men’s initiation), and associated bunggul (dance performance) and manakay (song performance), are other rituals attracting participants from across a large region (e.g. Brown 2014) and regularly across Burarra/Yolngu Matha groups. Typically particular kin relations will have special roles in these ceremonies, necessitating cooperation and exchange between culturally connected groups, such as the Burarra and Yolngu. Mortuary rituals also function as sites of ceremonial exchange, such as the lorrkon ceremony performed by both Yolngu (e.g. Djinang) and Burarra groups (e.g. Keen 1978: 157) in which the bones of dead person are prepared for final internment in a carved and painted hollow log. The film ‘Waiting for Harry’ (McKenzie 1980) documents the recovery of the remains of Frank Gurrmanamana's brother (who had been buried in Maningrida six years earlier) to Jina-wunya – a Burarra outstation – for Frank for arrange the final mortuary ceremony. The ceremony crucially involved the participation of Yan-nhangu men from Cape Stewart whose mothers’ mothers came from the deceased’s clan (see also Clunies-Ross 1989). At this and other similar funeral/mortuary gatherings involving Burarra and Yolngu groups, there is evidence from several accounts that Burarra has been used as a lingua franca between the coastal groups (Carew 2016: 79). E.g. Clunies-Ross (1983) describes a Yan-nhangu man giving an oration in Burarra at an An-barra Burarra funeral, his language being “somewhat accented but not ... ungrammatical” (Clunies-Ross 1983:10) (although Carew (2016: 79) suggests that this may in fact just be the Maringa dialect of Burarra).

– gift exchange

Gift exchange between the Burarra and Yolngu has occurred as a ritualised part of ceremonial exchange, and also in some other non-ritualised contexts. As part of the modern Marajiri/Maradjiri ceremony, for example, a ‘birth pole’ is prepared and gifted ""to make friends"" with another group, ""[to] stress the indissoluble unity between a group of people, natural species and a certain locality"" (Borsboom 1978: xiv and 15, cited in Elliot 1991). The gifting described above of tamarind seeds to a young Gun-nartpa man from landowners at Yurrwi provides an example of non-ceremonial gifting (Carew 2016: 72).

N.B.: REGARDING DESCRIBING CONTACT BETWEEN THESE GROUPS
1) A complicating factor in discussing contact between language groups in northern Australia is that language does not always delineate the most salient and important social boundaries between groups. That is to say, examples are readily observable where a single social and political group (such as a clan) is affiliated with more than one language (e.g. the Gamal and Bindararr clans which are affiliated with both Burarra and the Yolngu variety Yan-nhangu). Conversely, there are groups which are socially, culturally and geographically distinct but which ostensibly share the same language (e.g. the ‘freshwater’ Gun-nartpa people and the coastal Burarra, both of whom speak Burarra). As anthropologist Ad Borsboom notes of Djinang-speaking groups: “[s]hared language does not make a unity of these clans” (Borsboom 1978:23, see also Keen 1978; Carew 2016). Instead, the clan is typically the most prominent social unit, with language one of many secondary indices for identity in the region. ‘Burarra’ and ‘Yolngu Matha’, then, refer to loose affiliations of interconnected social groups, but are cross-cut by various other intergroup boundaries – social, ceremonial, cultural, economic, geographical etc. It’s therefore the case that I am able to generalise across these loose groups on some points but on others I will need to be more specific, say at the clan/clan aggregate/dialect or someother level (where information exists).
2) When considering contact between these two groups, it’s important to centralise the long-standing high levels of multilingualism in the region. Although an individual will typically identify with a single language through her/his patrilineal line, local language repertoires usually take in several languages. So many Burarra people would have spoken Yolngu languages pre-colonially and still do, and vice versa. So yes there is ‘contact’ between somewhat distinct social groups which can be identified as Burarra or Yolngu, but linguistic contact is not restricted to these encounters as many speakers involved would already speak both languages since childhood (e.g. through mother or grandparents, see marriage discussion below). For example, Gun-nartpa people today typically speak the Yolngu language Djinang and Kune as well their own variety of Burarra (Carew 2016: 67).",,set29,Jill Vaughan
set30-DEM00,set30-F,DEM00,Yes,DEM00-yes,,,set30,Richard Kowalik
set31-DEM00,set31-F,DEM00,No,DEM00-no,,,set31,Sonal Kulkarni-Joshi
set32-DEM00,set32-F,DEM00,No,DEM00-no,"Transactional exchanges (i.e. trades, purchases, penalties) have historically been common between Yurok and Karuk individuals, but documentation of these ethnolinguistic groups does not describe any ceremonial exchanges between communities or gift giving traditions that serve primarily to establish social relationships between groups.",,set32,Hannah Haynie
set33-DEM00,set33-F,DEM00,No,DEM00-no,"There is no evidence in the ethnographies of exchanges of gifts or wives outside of ethnic groups among the Aleut; the Eyak had such a system in place with the Tlingit and to a lesser extent with the Ahtna, but not with the Chugach Eskimos.",,set33,Anna Berge
set34-DEM00,set34-F,DEM00,No,DEM00-no,"[Presently social exchange is mediated is mediated through Amdo Tibetan. If there are any similarities between Wutun and Bonan communities, any practices of exchange would have come through Amdo Tibetan exchange.]",,set34,Erika Sandman
set01-DEM01,set01-F,DEM01,"Nuxalk (a maritime Salish isolate former located further south) was first influenced by the non-Salish languages Chinookan, Quileute, South Wakashan, Penutian. Later, interaction also took place between Nuxalk and north Wakashan, Nuxalk and Athabascan, and Nuxalk and Tsimshianic.",,,,set01,Hank Nater
set02-DEM01,set02-F,DEM01,"Thai, Karen varieties (Pwo, Sgaw)",,,,set02,Mathias Jenny
set03-DEM01,set03-F,DEM01,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM01,set04-F,DEM01,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM01,set05-F,DEM01,"IF exchange has occurred, the timeframe when the largest number of people would have had the most opportunities for interaction would have been late-19th century to early 20th century. Bougainville was colonised before this, in 1884, but plantations weren't established there until 1908. Plantations were established near the Papapana-speaking village Teperoi from 1912. Before the arrival of Europeans, Papapana speakers mostly only had contact with neighbouring Rotokas speakers and therefore this would have been when Papapana and Rotokas speakers had the most opportunities for interaction in exchange with each other",,,,set05,Ellen Smith-Dennis
set06a-DEM01,set06a-F,DEM01,"Sicilian was spoken, besides Maltese, and written from the 14th to the 16th century. Then Italian took over. Nowadays the use of English is increasing in interaction with Sicilians, depending on how well it is known by the Sicilian individual concerned.",,,,set06a,Joseph M Brincat
set07-DEM01,set07-F,DEM01,Kalanga,,,,set07,Admire Phiri
set08-DEM01,set08-F,DEM01,"A trade pidgin before the 1920s. After the 1920s Tok Pisin and, increasingly since the 1980s English. 
See the answers to questionnaire 1. [DTR]",,,,set08,Ross Bowden
set09-DEM01,set09-F,DEM01,(none),,"I expect French would be used with the very occasional visiting foreigner, but I never saw an example. Contact with French speakers during the colonial era falls outside of the time frame being addressed.",,set09,Lameen Souag
set10-DEM01,set10-F,DEM01,?,,,,set10,Anonymous
set11-DEM01,set11-F,DEM01,?,,,,set11,Alexander Cobbinah
set12-DEM01,set12-F,DEM01,"Kurmanji, Armenian",,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM01,set13-F,DEM01,2,,"Nete, Enga",,set13,Jerry K. Jacka
set14-DEM01,set14-F,DEM01,No other languages are spoken in this domain.,,,,set14,Ana María Ospina Bozzi
set15-DEM01,set15-F,DEM01,?,,,,set15,Bruno Olsson
set16-DEM01,set16-F,DEM01,?,,,,set16,Katja Hannß
set17-DEM01,set17-F,DEM01,None.,,,,set17,Rosnátaly Avelino
set18-DEM01,set18-F,DEM01,"Varieties of Bininj Kunwok, Maningrida family languages, other Iwaidjan family languages",,,,set18,Ruth Singer
set19-DEM01,set19-F,DEM01,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM01,set20-F,DEM01,?,,,,set20,Arun Ghosh
set21-DEM01,set21-F,DEM01,Hausa,,,,set21,Georg Ziegelmeyer
set22-DEM01,set22-F,DEM01,Some people speak some Chinese.,,,,set22,Elizabeth Hall
set23-DEM01,set23-F,DEM01,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
set24-DEM01,set24-F,DEM01,"Other indigeous languages from the Chaco region:
Mocoví
Pilagá
Wichí
Guaraní",,,,set24,Cristina Messineo & Paola Cúneo & Agustina Paredes & Nicolás Brid & Ana Blanco
set25-DEM01,set25-F,DEM01,Spanish,,,,set25,María Belén Carpio & Marcela Mendoza
set27-DEM01,set27-F,DEM01,?,,,,set27,Dineke Schokkin
set28-DEM01,set28-F,DEM01,"Any of the other vernacular languages in the area. From a Nen perspective: Nmbo, Nambo, Neme, Täme, perhaps Nama, perhaps even Suki or Agob.",,,,set28,Eri Kashima & Dineke Schokkin
set29-DEM01,set29-F,DEM01,"Na-kara
Gurr-goni
Ndjébbana
Bininj Kunwok
Rembarrnga
Dalabon",,,,set29,Jill Vaughan
set30-DEM01,set30-F,DEM01,"None (I believe English is not relevant here, even if most South Saami and Swedish/Norwegian people are capable of speaking it).",,,,set30,Richard Kowalik
set31-DEM01,set31-F,DEM01,?,,,,set31,Sonal Kulkarni-Joshi
set32-DEM01,set32-F,DEM01,?,,,,set32,Hannah Haynie
set33-DEM01,set33-F,DEM01,?,,,,set33,Anna Berge
set34-DEM01,set34-F,DEM01,,,,,set34,Erika Sandman
set01-DEM02_DEME02-1,set01-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,"Lexical and structural exchanges between Nuxalk and North Wakashan happened, through time and space, at different locations and for various reasons (trade, intermarriage, warfare, shared rituals)",,set01,Hank Nater
set02-DEM02_DEME02-1,set02-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,"Mon and Burmese share the Theravada Buddhist tradition, together with local legends and and stories; they inhabit the same villages in many cases and occupy the same economic/ecological space",,set02,Mathias Jenny
set03-DEM02_DEME02-1,set03-F,DEM02_DEME02-1,?,,,,set03,Yvonne Treis & Deginet Wotango Doyiso
set04-DEM02_DEME02-1,set04-F,DEM02_DEME02-1,?,,,,set04,Hannah Gibson & Maarten Mous
set05-DEM02_DEME02-1,set05-F,DEM02_DEME02-1,B,DEM02_DEME02-1-B,I don't know,,set05,Ellen Smith-Dennis
set06a-DEM02_DEME02-1,set06a-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,,,set06a,Joseph M Brincat
set07-DEM02_DEME02-1,set07-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,,,set07,Admire Phiri
set08-DEM02_DEME02-1,set08-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,"Exchange in the widest sense took the form of (1) personal and group trade, (2) and participation in ceremonies and the exchange of ritual paraphernalia AND the spirits with which they were associated. (1) Personal trade was been individual men linked totemically, who regarded each other as ‘kin’ (e.g. brothers) and used the same kinship terms they used for members of their own groups. Such men frequently visited each other’s settlements for periods of up to several weeks. Group trade took place between women in groups at market sites owned by the Kwoma scattered around the edges of the Washkuk Hills. (2) Up until the 1980s, when they ceased being performed, men from both groups regularly participated in ceremonies organized by the other language group. See the answers to questionnaire 1 [DTR]",,set08,Ross Bowden
set09-DEM02_DEME02-1,set09-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,"Hard to know how to answer the last two questions here; these ""exchange"" events take place at the initiative of individuals or families, and linguistically or ethnically defined communities have no part to play, but the accompanying activities are fairly strongly codified.",,set09,Lameen Souag
set10-DEM02_DEME02-1,set10-F,DEM02_DEME02-1,?,,,,set10,Anonymous
set11-DEM02_DEME02-1,set11-F,DEM02_DEME02-1,?,,,,set11,Alexander Cobbinah
set12-DEM02_DEME02-1,set12-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,,,set12,Saloumeh Gholami in cooperation with Mahîr Dogan
set13-DEM02_DEME02-1,set13-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,,,set13,Jerry K. Jacka
set14-DEM02_DEME02-1,set14-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,"Some ceremonial events that take place in the region are attended by different groups of people. Usually the Yuhup are not invited as central guests but mostly to help with many necessary chores for the preparation of the ceremony. Nevertheless, once the ceremony begins, and depending on its function, some Yuhup may participate actively, with variations on degree.",,set14,Ana María Ospina Bozzi
set15-DEM02_DEME02-1,set15-F,DEM02_DEME02-1,?,,,,set15,Bruno Olsson
set16-DEM02_DEME02-1,set16-F,DEM02_DEME02-1,?,,,,set16,Katja Hannß
set17-DEM02_DEME02-1,set17-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,,,set17,Rosnátaly Avelino
set18-DEM02_DEME02-1,set18-F,DEM02_DEME02-1,B,DEM02_DEME02-1-B,Ceremonial exchange involves sharing spiritual knowledge and some gift exchange,,set18,Ruth Singer
set19-DEM02_DEME02-1,set19-F,DEM02_DEME02-1,?,,,,set19,Francesca Moro & Yunus Sulistyono
set20-DEM02_DEME02-1,set20-F,DEM02_DEME02-1,?,,,,set20,Arun Ghosh
set21-DEM02_DEME02-1,set21-F,DEM02_DEME02-1,Yes,DEM02_DEME02-1-yes,,,set21,Georg Ziegelmeyer
set22-DEM02_DEME02-1,set22-F,DEM02_DEME02-1,No,DEM02_DEME02-1-no,,,set22,Elizabeth Hall
set23-DEM02_DEME02-1,set23-F,DEM02_DEME02-1,?,,,,set23,Veronika Zikmundová & Kicengge (Chengzhi)
