Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContactPair_Glottocode,AArea,Reviewer
1.0.0,set26,set_19a,OS9,OS9,,7. How frequently do [q2o1answer] people generally interact with out-group people? ,Very Frequently,"Depending on the community in which they live, Garifuna (cab) frequently interact with out-group people.  Even in the most rural areas, Garifuna must interact with out-group people for buying goods and travel.",Michelle A. Ocasio,OV,6,Scalar,Very Frequently,Frequently,Neither frequently nor infrequently,Infrequently,Very infrequently,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI1,OI1,OI1-1,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Group centered around shared descent, such as clan, house, lineage group, kinship group",Yes,"The Garifuna recognize that they are descendants of Africans who originate on the island of St. Vincent in the Caribbean.  Many Garifunas in Honduras and Guatemala, although they speak Spanish, will often explain that they are not to be considered Hispanic nor Afro-Hispanic, but rather Garifuna.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI1,OI1,OI1-2,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Race, ethnicity, or some other similar grouping",Yes,"The Garifuna recognize that they are descendants of Africans who originate on the island of St. Vincent in the Caribbean.  Many Garifunas in Honduras and Guatemala, although they speak Spanish, will often explain that they are not to be considered Hispanic nor Afro-Hispanic, but rather Garifuna.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI1,OI1,OI1-3,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Micro-level (politico-)territorial group, including regional or areal groups, clans, bands, tribes",No,"The Garifuna recognize that they are descendants of Africans who originate on the island of St. Vincent in the Caribbean.  Many Garifunas in Honduras and Guatemala, although they speak Spanish, will often explain that they are not to be considered Hispanic nor Afro-Hispanic, but rather Garifuna.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI1,OI1,OI1-4,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Macro-level (politico-)territorial group, such as nation, tribe, state",No,"The Garifuna recognize that they are descendants of Africans who originate on the island of St. Vincent in the Caribbean.  Many Garifunas in Honduras and Guatemala, although they speak Spanish, will often explain that they are not to be considered Hispanic nor Afro-Hispanic, but rather Garifuna.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI1,OI1,OI1-5,"8. Is [q2o1answer] stated as an expression of identity of any of the following? Formal or informal relationships between non-kin, such as alliances, sodality membership, ad-hoc relationships between families or individuals",No,"The Garifuna recognize that they are descendants of Africans who originate on the island of St. Vincent in the Caribbean.  Many Garifunas in Honduras and Guatemala, although they speak Spanish, will often explain that they are not to be considered Hispanic nor Afro-Hispanic, but rather Garifuna.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI3,OI3,,9. Is there a codified standard variety for [q2o1answer]?,No,"There is no standard variety of Garifuna, although many Garifunas in Guatemala point to Honduras as being the ""original dialect"" of the Garifuna language.  There is ongoing discussion on a Garifuna orthography, since English and Spanish speakers of Garifuna differ on how certain sounds should be represented in the alphabet.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI6,OI6,,"10. What are the [q2o1answer] speakers' attitudes towards linguistic transfers from [q2o2answer], such as lexical or grammatical borrowing?",Positive,"Although linguistic research has DEMonstrated that the Garifuna language, once heavily influenced with Galibi (Carib) morphology, has experienced dialect leveling to the Arawak language, any existing Galibi morphology is held in high esteem.",Michelle A. Ocasio,OV,6,Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI7,OI7,,"11. What are the [q2o1answer] speakers' general attitudes towards linguistic transfer, such as lexical or grammatical borrowing, from any other language than [q2o2answer]?",Neither positive nor negative,"For the most part, the Garifuna people recognize that there are many linguistic elements from other languages (mostly from French but also Spanish and English) and have neither a positive nor negative attitude.",Michelle A. Ocasio,OV,6,Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI9,OI9,,12. What are the [q2o1answer] speakers' attitudes towards lectal differences within [q2o1answer]?,Very positive,"Garifunas are very aware of lectal differences between Garifunas in neighboring countries as well as Garifunas in the United States.  They speak with particular reverence to the Honduran dialect, however, not at the expense of deprecating their own dialect of Garifuna language.",Michelle A. Ocasio,OV,6,Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OI8,OI8,,13. How significant is language as part of group identity for the speakers of [q2o1answer]?,Very significant,"Many Garifunas, especially those in Central America (Honduras, Guatemala and Belize) feel that speaking Garifuna language is a vital part of Garifuna cultural identity.  Some speakers believe that Garifunas who are known to speak the language and choose not to speak it are deliberately denying their Garifuna heritage.",Michelle A. Ocasio,OV,6,Scalar,Very significant,Significant,Neither significant nor insignificant,Insignificant,Very insignificant,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OB1,OB1,,14. There is an emic conception of [q2o1answer] as “a language” or some other categorical or objective thing?,Yes,"The Garifuna are very aware of their language and is very often a topic of discussion and debate (origins, composition, orthography rules, and so on). In the recent past, many Garifuna referred to their language as ""just a dialect,"" feeling that it is sub-standard to the dominant language (such as Spanish or English).  Some Garifunas believe that as speakers of the language, they sole owners of the knowledge of Garifuna language's true origins and usage.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,O10,O10,,[q2o1answer] peoples’ language loyalty towards [q2o1answer] can be characterised as:,Very High,"The Garifuna have a very strong sense of language loyalty.  Although they may feel marginalized in their respective communities (vs. more dominant Indigenous languages, or Spanish or English), they continue to maintain their language as a strong marker of cultural identity.",Michelle A. Ocasio,OV,6,Scalar,Very high,High,Neither low nor high,Low,Very low,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL3,OL3,,15. Do the [q2o1answer] speaking people use some orthography in writing their language?,"Yes, in a non-standardised way","While a standard orthography of Garifuna has been a topic of debate for many decades, the language is indeed written and can be found in dictionaries, bibles, and other forms of literature.  It uses a Latin script and debate stems from whether to codify certain sounds using the Spanish or the English alphabet.",Michelle A. Ocasio,OV,6,Types,"Yes, in a non-standardised way","Yes, in a standardised way","No, the Focus Group language is not written",NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL1,OL1,,16. What is the approximate rate of formal literacy in the [q2o1answer] speaking community?,B,,Michelle A. Ocasio,OV,6,Scalar,High,Fairly high,Intermediate,Fairly low,Low,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL2,OL2,OL2-1,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain hierarchy groups associated with profession or wealth (such as class and caste)?",No,,Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL2,OL2,OL2-2,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain magico-religiously sanctioned groups (such as religious denomination)?",No,,Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL2,OL2,OL2-3,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain descent groups, such as clan, house, lineage group, kinship group)?",No,,Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL2,OL2,OL2-4,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain races, ethnicities, or some other similar grouping?",No,,Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL2,OL2,OL2-5,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain age cohorts or life stages?",No,,Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL2,OL2,OL2-6,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to a certain sex or genders?",No,,Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OL2,OL2,OL2-7,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to other communities of practice not mentioned above?",No,,Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OS1,OS1,,"18. Typically, how many levels of jurisdictional hierarchy are there in the [q2o1answer] speaking society, beyond the local community?",No levels,"Although the Garifuna refer to ""Garifuna Nation,"" it is an abstract concept that includes Garifunas living in the communities along the Belizean, Guatemalan and Honduran border.  There are no levels of jurisdictional hierarchy.",Michelle A. Ocasio,OV,6,Scalar,Four levels,Three levels,Two levels,One level,No levels,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OS2,OS2,,"19. Typically, how many levels of jurisdictional hierarchy are there in [q2o2answer] society, beyond the local community?",B,,Michelle A. Ocasio,OV,6,Scalar,Four levels,Three levels,Two levels,One level,No levels,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OS4,OS4,,"20. Which of the following best characterises the dominant form of the [q2o1answer] speaking group's mobility and sedentism, in regards to subsistence?",Sedentary,"Although some individuals do indeed move between countries and within their own countries, as a group they are sedentary and some individuals often never travel out of their community.",Michelle A. Ocasio,OV,6,Types,Sedentary,Mobile,Mixed,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OS5,OS5,,"21. Which of the following best characterises the dominant form of the [q2o2answer] speaking group's mobility and sedentism, in regards to subsistence?",B,,Michelle A. Ocasio,OV,6,Types,Sedentary,Mobile,Mixed,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OS6,OS6,,22. The [q2o1answer] speaking society's subsistence pattern can be broadly characterised as... ,Highly mixed,"While the Garifuna communities were once very much agricultural and fishing, it is now highly mixed with Garifuna individuals in a variety of occupations.",Michelle A. Ocasio,OV,6,Types,Hunter-gatherer,Fishing,Animal Husbadry,"Agricultural, casual","Agricultural, shifting","Agricultural, permanent",Highly Mixed,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OH1,OH1,,"23. Have there been any natural disasters or major societal upheaval during the densest period of contact between the [q2o1answer] speaking and [q2o2answer] speaking people, such it impacted people's mobility, and [q2o1answer] speaking people talk about it?",Yes,"There was at one point in history, around the mid-1600s one large group on St. Vincent island in the Caribbean (Lesser Antilles) that consisted of both the Garifunas and the Kalíponas (who spoke an Arawak language heavily inflected with Galibi (Carib) morphemes).  There are first-hand accounts of having viewed two distinct groups on the island, however, as they were known to fiercely protect their island from invaders, there are no in-depth studies on this relationship.  In later accounts beginning around 1700s, witnesses report having seen two distinct groups on either sides of St. Vincent; the native Indigenous on the leeward side of the island, and the Garifuna on the windward side.  It is possible that there may have been some contact between the Garifuna and the Kalipona during this time.  After two great wars (The First Carib War 1769-1773 and the Second Carib War 1795-1797) the Garifuna people were exiled from St. Vincent and contact with the Kalíponas would have ceased at this time.",Michelle A. Ocasio,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OE1,OE1,,24. How long time have you spent working with this community?,[See comment],I lived in the Garifuna community of Livingston Guatemala during the year 2010.,Michelle A. Ocasio,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OE2,OE2,,25. Whom did you mostly interact with during your stay and through community-based research?,[See comment],"Although I made close friendships with many Garifunas, I mostly interacted with the Garifuna community (and little interaction with other groups).",Michelle A. Ocasio,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OE3,OE3,,26. Was your interaction with members of the community typically mediated by one/a few person(s)? Who were they?,[See comment],"A Garifuna leader by the name of Tomas Sanchez introduced me to many Garifuna leaders and elders in the community, but my presence there was to interview as many Garifuna as possible for my dissertation research.  I walked from home to home, recording their responses.  Mr. Sanchez had a gave free English classes to any interested members of the community, and gave me classes in Garifuna language.",Michelle A. Ocasio,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OC1,OC1,,27. How certain are you in your responses to the set of questions about each domain?,Certain,"I am very certain of my answers since I have spent many years researching this community, however, some answers were difficult to attain (such as population and literacy) since this information is not readily available.",Michelle A. Ocasio,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OC2,OC2,,28. How certain are you in your responses to the set of questions about social networks (The S-Set of questions)?,Certain,"Unless social networks have changed drastically in the past decade, my observations are certain.  I lived in a Garifuna home and as a woman of color myself I was treated as a sister and a daughter by members of the community.",Michelle A. Ocasio,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OC3,OC3,,29. How certain are you in your responses to the set of questions about attitudes and ideologies (The B-Set of questions)?,Certain,I am certain of my answers since I witnessed first hand the interactions between Garifunas and neighboring groups.,Michelle A. Ocasio,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OC4,OC4,,30. How certain are you in your responses to the set of questions about language production (The O-Set of questions)?,B,"I am certain of my answers, as this was the focus of my dissertation project.",Michelle A. Ocasio,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OC5,OC5,,31. How certain are you in your responses to the set of questions about the languages spoken to the [q2o1answer] people (The I-Set of questions)?,Certain,"I am certain of my answers, as this was the focus of my dissertation project.",Michelle A. Ocasio,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
1.0.0,set26,set_19a,OC6,OC6,,32. How certain are you in your responses to the set of questions about children (The T-Set of questions)?,B,"I am certain of my answers, as this was the focus of my dissertation project.",Michelle A. Ocasio,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Ocasio,Garifuna,Garifuna,cab,gari1256,Galibi,Galibi,car,gali1262,Garifuna - Galibi,cab-car,gari1256-gali1262,Mesoamerica,EK
