Version,Set,Old_Set_ID,CID,QID,Sub-ID,Wording,Response,Comment,Respondent,Dom,DomOrder,DataType,Answer1,Answer2,Answer3,Answer4,Answer5,Answer6,Answer7,Answer8,Surname,[q2o1answer],FLang,F_ISO,F_Glottocode,[q2o2answer],NLang,N_ISO,N_Glottocode,ContactPair,ContactPair_ISO,ContctPair_Glottocode,AArea,Reviewer
1.0.0,set15,set43,OI6,OI6,,"10. What are the [q2o1answer] speakers' attitudes towards linguistic transfers from [q2o2answer], such as lexical or grammatical borrowing?",B,I'm not aware of any such transfer or borrowing,Bruno Olsson,OV,6,Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI7,OI7,,"11. What are the [q2o1answer] speakers' general attitudes towards linguistic transfer, such as lexical or grammatical borrowing, from any other language than [q2o2answer]?",Negative,,Bruno Olsson,OV,6,Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI9,OI9,,12. What are the [q2o1answer] speakers' attitudes towards lectal differences within [q2o1answer]?,Negative,,Bruno Olsson,OV,6,Scalar,Very positive,Positive,Neither positive nor negative,Negative,Very negative,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OI8,OI8,,13. How significant is language as part of group identity for the speakers of [q2o1answer]?,Very significant,,Bruno Olsson,OV,6,Scalar,Very significant,Significant,Neither significant nor insignificant,Insignificant,Very insignificant,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OB1,OB1,,14. There is an emic conception of [q2o1answer] as “a language” or some other categorical or objective thing?,Yes,,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,O10,O10,,[q2o1answer] peoples’ language loyalty towards [q2o1answer] can be characterised as:,High,,Bruno Olsson,OV,6,Scalar,Very high,High,Neither low nor high,Low,Very low,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL3,OL3,,15. Do the [q2o1answer] speaking people use some orthography in writing their language?,"Yes, in a non-standardised way",,Bruno Olsson,OV,6,Types,"Yes, in a non-standardised way","Yes, in a standardised way","No, the Focus Group language is not written",NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL1,OL1,,16. What is the approximate rate of formal literacy in the [q2o1answer] speaking community?,Intermediate,"Most Marind people are literate in Indonesian, although younger men (<30 year of age) in rural areas less so. Marind can be written using Indonesian spelling conventions, which I sometimes see, e.g. on social media. But there is no systematic use of written Marind in any type of medium. I'd say the literacy in Marind is mostly due to the literacy in Indonesian, and the ease with which Indonesian spelling can be adapted for writing Marind words.",Bruno Olsson,OV,6,Scalar,High,Fairly high,Intermediate,Fairly low,Low,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL2,OL2,OL2-1,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain hierarchy groups associated with profession or wealth (such as class and caste)?",No,Young men in remote villages seem to be somewhat less literate than their female peers.,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL2,OL2,OL2-2,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain magico-religiously sanctioned groups (such as religious denomination)?",No,[See above],Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL2,OL2,OL2-3,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain descent groups, such as clan, house, lineage group, kinship group)?",No,[See above],Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL2,OL2,OL2-4,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain races, ethnicities, or some other similar grouping?",No,[See above],Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL2,OL2,OL2-5,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to people of certain age cohorts or life stages?",No,[See above],Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL2,OL2,OL2-6,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to a certain sex or genders?",No,[See above],Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OL2,OL2,OL2-7,"17. Restrictions in access to literacy in terms of social categories. Is the ability to read and write restricted, in practice, to other communities of practice not mentioned above?",No,[See above],Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OS1,OS1,,"18. Typically, how many levels of jurisdictional hierarchy are there in the [q2o1answer] speaking society, beyond the local community?",No levels,Referring to the pre-colonial situation.,Bruno Olsson,OV,6,Scalar,Four levels,Three levels,Two levels,One level,No levels,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OS2,OS2,,"19. Typically, how many levels of jurisdictional hierarchy are there in [q2o2answer] society, beyond the local community?",No levels,,Bruno Olsson,OV,6,Scalar,Four levels,Three levels,Two levels,One level,No levels,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OS4,OS4,,"20. Which of the following best characterises the dominant form of the [q2o1answer] speaking group's mobility and sedentism, in regards to subsistence?",Sedentary,,Bruno Olsson,OV,6,Types,Sedentary,Mobile,Mixed,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OS5,OS5,,"21. Which of the following best characterises the dominant form of the [q2o2answer] speaking group's mobility and sedentism, in regards to subsistence?",Sedentary,,Bruno Olsson,OV,6,Types,Sedentary,Mobile,Mixed,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OS6,OS6,,22. The [q2o1answer] speaking society's subsistence pattern can be broadly characterised as... ,Highly mixed,"Mix of hunting, fishing and low-intensity agriculture (mainly sago and tubers).",Bruno Olsson,OV,6,Types,Hunter-gatherer,Fishing,Animal Husbadry,"Agricultural, casual","Agricultural, shifting","Agricultural, permanent",Highly Mixed,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OH1,OH1,,"23. Have there been any natural disasters or major societal upheaval during the densest period of contact between the [q2o1answer] speaking and [q2o2answer] speaking people, such it impacted people's mobility, and [q2o1answer] speaking people talk about it?",No,Except colonisation and pacification by the Dutch followed by the Indonesians.,Bruno Olsson,OV,6,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OE1,OE1,,24. How long time have you spent working with this community?,7 years,NA,Bruno Olsson,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OE2,OE2,,25. Whom did you mostly interact with during your stay and through community-based research?,Coastal Marind people in the Wambi village.,NA,Bruno Olsson,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OE3,OE3,,26. Was your interaction with members of the community typically mediated by one/a few person(s)? Who were they?,"No, I worked with many people",NA,Bruno Olsson,OV,6,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OC1,OC1,,27. How certain are you in your responses to the set of questions about each domain?,Somewhat certain,,Bruno Olsson,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OC2,OC2,,28. How certain are you in your responses to the set of questions about social networks (The S-Set of questions)?,Somewhat certain,,Bruno Olsson,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OC3,OC3,,29. How certain are you in your responses to the set of questions about attitudes and ideologies (The B-Set of questions)?,Somewhat certain,,Bruno Olsson,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OC4,OC4,,30. How certain are you in your responses to the set of questions about language production (The O-Set of questions)?,Somewhat certain,,Bruno Olsson,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OC5,OC5,,31. How certain are you in your responses to the set of questions about the languages spoken to the [q2o1answer] people (The I-Set of questions)?,Somewhat certain,,Bruno Olsson,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,OC6,OC6,,32. How certain are you in your responses to the set of questions about children (The T-Set of questions)?,Uncertain,,Bruno Olsson,OV,6,Scalar,Very certain,Certain,Somewhat certain,Uncertain,Very uncertain,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,P1,DEM00,,1. Has exchange ever been a relevant domain of contact between [q2o1answer] and [q2o2answer]?,No,,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,P2,DEM0a,,3. How long have [q2o1answer] and [q2o2answer] people practised exchange for? ,NA,NA,Bruno Olsson,DEM,5,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,P2N,DEM0aN,,"Coarse time range, numerical",NA,NA,Bruno Olsson,DEM,5,Value,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,P3,DEM0b,,4. What is the time frame when the largest number of people had the most opportunities for interaction in exchange?,NA,NA,Bruno Olsson,DEM,5,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,P3,DEM0bN,,"Coarse time range, numerical",NA,NA,Bruno Olsson,DEM,5,Value,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,P4,DEM01,,"5. What other languages, if any, are spoken in this domain?",NA,NA,Bruno Olsson,DEM,5,Comment,NA,NA,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D1,DEM02,DEM02-1,6. Characteristic of the domain of Exchange. Is Exchange between [q2o1answer] and [q2o2answer] the individual’s initiative?,NA,NA,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D1,DEM02,DEM02-2,6. Characteristic of the domain of Exchange. Is Exchange between [q2o1answer] and [q2o2answer] an institutionalised procedure?,NA,NA,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D1,DEM02,DEM02-3,6. Characteristic of the domain of Exchange. Is Exchange between [q2o1answer] and [q2o2answer] part of a ceremonial event to which both communities participate?,NA,NA,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D6,DEM04,,7. Where does exchange between [q2o1answer] and [q2o2answer] people typically take place?,NA,NA,Bruno Olsson,DEM,5,Types,At places which belong to the [q2o1answer],At places which belong to the [q2o2answer],At places which belong to some other group,This is highly contextual,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D11,DEM19,,8. How much influence can the [q2o1answer] exert over exchange?,NA,NA,Bruno Olsson,DEM,5,Scalar,Influence is practically always exerted,Influence is very much exerted,Influence is somewhat exerted,Influence is exerted very little,Influence is practically never exerted,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D9,DEM38,,9. Are there any speech styles used during practices of exchange?,NA,NA,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D12,DEM45,,"10. How often are these speech styles typically used during practices of exchange, in comparison with unmonitored speech?",NA,NA,Bruno Olsson,DEM,5,Scalar,Always,Sometimes,As much as unmonitored speech,Rarely,Never,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D3,DEM03,DEM03-1,"11. Social categories. Does involvement in Exchange practices differ based on hierarchies associated to profession or wealth, such as a person's class or caste?",NA,NA,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D3,DEM03,DEM03-2,"11. Social categories. Does involvement in Exchange practices differ based on whether a person belongs to some magico-religiously sanctioned group, such as religious denomination?",NA,NA,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
1.0.0,set15,set43,D3,DEM03,DEM03-3,"11. Social categories. Does involvement in Exchange practices differ based on a person's descent group, such as clan, house, lineage group, kinship group?",NA,NA,Bruno Olsson,DEM,5,Binary-YesNo,Yes,No,NA,NA,NA,NA,NA,NA,Olsson,Marind,Marind,mrz,nucl1622,Marori,Marori,mok,moro1289,Marind - Marori,mrz-mok,nucl1622-moro1289,Southern New Guinea,"EK, OR"
